ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.9528964897,-1297.0885672561965,4362.226454947106,1451.9528964897,1451.9528964897,96.33509595658505,96.33509595658505,96.33509595658505,419.72004708049496,419.72004708049496,419.72004708049496,-323.38495112390996,-323.38495112390996,-323.38495112390996,0.0,0.0,0.0,1548.287992446285
2014-01-04,1452.070317745445,-1721.2824214356863,3837.503642534091,1452.070317745445,1452.070317745445,-399.0017582645043,-399.0017582645043,-399.0017582645043,21.484394081438335,21.484394081438335,21.484394081438335,-420.4861523459426,-420.4861523459426,-420.4861523459426,0.0,0.0,0.0,1053.0685594809406
2014-01-05,1452.1877390011898,-1673.8422471523743,3789.047210611013,1452.1877390011898,1452.1877390011898,-307.3840983003067,-307.3840983003067,-307.3840983003067,203.64848850362958,203.64848850362958,203.64848850362958,-511.0325868039362,-511.0325868039362,-511.0325868039362,0.0,0.0,0.0,1144.803640700883
2014-01-06,1452.3051602569349,-1334.2823316513782,4119.334705215446,1452.3051602569349,1452.3051602569349,-182.21060818130078,-182.21060818130078,-182.21060818130078,411.6108669632236,411.6108669632236,411.6108669632236,-593.8214751445244,-593.8214751445244,-593.8214751445244,0.0,0.0,0.0,1270.094552075634
2014-01-07,1452.4225815126797,-2283.728291301888,3297.082329620019,1452.4225815126797,1452.4225815126797,-839.8311996139793,-839.8311996139793,-839.8311996139793,-172.03416700329743,-172.03416700329743,-172.03416700329743,-667.7970326106818,-667.7970326106818,-667.7970326106818,0.0,0.0,0.0,612.5913818987004
2014-01-09,1452.6574240241696,-1745.0711613700641,3745.4245679547757,1452.6574240241696,1452.6574240241696,-629.9340653448485,-629.9340653448485,-629.9340653448485,156.0360359549964,156.0360359549964,156.0360359549964,-785.9701012998449,-785.9701012998449,-785.9701012998449,0.0,0.0,0.0,822.7233586793211
2014-01-10,1452.7748452799146,-1551.9607140181647,3760.5861574055984,1452.7748452799146,1452.7748452799146,-409.2826520412594,-409.2826520412594,-409.2826520412594,419.7200470810094,419.7200470810094,419.7200470810094,-829.0026991222688,-829.0026991222688,-829.0026991222688,0.0,0.0,0.0,1043.4921932386553
2014-01-11,1452.8922665356597,-2190.976422168049,3407.2244073429433,1452.8922665356597,1452.8922665356597,-839.4383431704184,-839.4383431704184,-839.4383431704184,21.484394082035003,21.484394082035003,21.484394082035003,-860.9227372524534,-860.9227372524534,-860.9227372524534,0.0,0.0,0.0,613.4539233652413
2014-01-13,1453.1271090471494,-1860.4079292534282,3800.3546718287,1453.1271090471494,1453.1271090471494,-479.9768255904103,-479.9768255904103,-479.9768255904103,411.6108669628705,411.6108669628705,411.6108669628705,-891.5876925532808,-891.5876925532808,-891.5876925532808,0.0,0.0,0.0,973.1502834567391
2014-01-14,1453.2445303028946,-2339.4156118720175,3071.9843822440716,1453.2445303028946,1453.2445303028946,-1063.0333186994042,-1063.0333186994042,-1063.0333186994042,-172.03416700446041,-172.03416700446041,-172.03416700446041,-890.9991516949437,-890.9991516949437,-890.9991516949437,0.0,0.0,0.0,390.2112116034905
2014-01-15,1453.3619515586395,-3269.8109171123074,2325.6125164466835,1453.3619515586395,1453.3619515586395,-1921.0850367088171,-1921.0850367088171,-1921.0850367088171,-1040.4656655836045,-1040.4656655836045,-1040.4656655836045,-880.619371125213,-880.619371125213,-880.619371125213,0.0,0.0,0.0,-467.72308515017767
2014-01-16,1453.4793728143843,-1942.1544119818445,3512.396890256075,1453.4793728143843,1453.4793728143843,-705.2948669227994,-705.2948669227994,-705.2948669227994,156.03603595508415,156.03603595508415,156.03603595508415,-861.3309028778835,-861.3309028778835,-861.3309028778835,0.0,0.0,0.0,748.1845058915849
2014-01-18,1453.7142153258744,-1998.9964778384574,3217.801966283371,1453.7142153258744,1453.7142153258744,-779.0021653196649,-779.0021653196649,-779.0021653196649,21.484394081134514,21.484394081134514,21.484394081134514,-800.4865594007994,-800.4865594007994,-800.4865594007994,0.0,0.0,0.0,674.7120500062096
2014-01-19,1453.8316365816193,-1864.0625268893775,3608.379299170482,1453.8316365816193,1453.8316365816193,-557.9000882912856,-557.9000882912856,-557.9000882912856,203.64848850391283,203.64848850391283,203.64848850391283,-761.5485767951984,-761.5485767951984,-761.5485767951984,0.0,0.0,0.0,895.9315482903337
2014-01-20,1453.9490578373643,-1485.9751056046841,3968.139020114121,1453.9490578373643,1453.9490578373643,-307.26724670912637,-307.26724670912637,-307.26724670912637,411.6108669638079,411.6108669638079,411.6108669638079,-718.8781136729343,-718.8781136729343,-718.8781136729343,0.0,0.0,0.0,1146.681811128238
2014-01-21,1454.0664790931091,-2382.98552228846,3424.675976527683,1454.0664790931091,1454.0664790931091,-846.0672908032025,-846.0672908032025,-846.0672908032025,-172.03416700290015,-172.03416700290015,-172.03416700290015,-674.0331238003022,-674.0331238003022,-674.0331238003022,0.0,0.0,0.0,607.9991882899067
2014-01-23,1454.301321604599,-1684.3754760262605,3687.216521386144,1454.301321604599,1454.301321604599,-428.1587059554217,-428.1587059554217,-428.1587059554217,156.03603595633402,156.03603595633402,156.03603595633402,-584.1947419117557,-584.1947419117557,-584.1947419117557,0.0,0.0,0.0,1026.1426156491773
2014-01-26,1454.653585371834,-1592.3039977690069,4070.7717468141605,1454.653585371834,1454.653585371834,-268.4956953332708,-268.4956953332708,-268.4956953332708,203.6484885022753,203.6484885022753,203.6484885022753,-472.1441838355462,-472.1441838355462,-472.1441838355462,0.0,0.0,0.0,1186.1578900385632
2014-01-27,1454.771006627579,-1440.7105987098198,3997.3283032145087,1454.771006627579,1454.771006627579,-34.759921102687514,-34.759921102687514,-34.759921102687514,411.61086696260213,411.61086696260213,411.61086696260213,-446.3707880652896,-446.3707880652896,-446.3707880652896,0.0,0.0,0.0,1420.0110855248915
2014-01-28,1454.8884278833239,-1880.55466300935,3571.991109575683,1454.8884278833239,1454.8884278833239,-600.2987113663288,-600.2987113663288,-600.2987113663288,-172.0341670009146,-172.0341670009146,-172.0341670009146,-428.2645443654142,-428.2645443654142,-428.2645443654142,0.0,0.0,0.0,854.589716516995
2014-01-30,1455.1232703948137,-1394.3840909935855,3881.9115092861716,1455.1232703948137,1455.1232703948137,-262.15298849839337,-262.15298849839337,-262.15298849839337,156.0360359570028,156.0360359570028,156.0360359570028,-418.1890244553962,-418.1890244553962,-418.1890244553962,0.0,0.0,0.0,1192.9702818964204
2014-01-31,1455.2406916505588,-1576.797727143545,4054.0529270644547,1455.2406916505588,1455.2406916505588,-7.4910047716526895,-7.4910047716526895,-7.4910047716526895,419.7200470806633,419.7200470806633,419.7200470806633,-427.211051852316,-427.211051852316,-427.211051852316,0.0,0.0,0.0,1447.749686878906
2014-02-01,1455.3581129063036,-1744.251308583754,3703.030692590823,1455.3581129063036,1455.3581129063036,-424.3710906101861,-424.3710906101861,-424.3710906101861,21.48439408198049,21.48439408198049,21.48439408198049,-445.85548469216667,-445.85548469216667,-445.85548469216667,0.0,0.0,0.0,1030.9870222961176
2014-02-02,1455.4755341620487,-1536.0065404359918,4082.7136168099823,1455.4755341620487,1455.4755341620487,-270.34157720895365,-270.34157720895365,-270.34157720895365,203.6484885018613,203.6484885018613,203.6484885018613,-473.990065710815,-473.990065710815,-473.990065710815,0.0,0.0,0.0,1185.133956953095
2014-02-03,1455.5929554177935,-1435.3181116832675,4140.361942068652,1455.5929554177935,1455.5929554177935,-99.61640127233197,-99.61640127233197,-99.61640127233197,411.6108669631019,411.6108669631019,411.6108669631019,-511.2272682354338,-511.2272682354338,-511.2272682354338,0.0,0.0,0.0,1355.9765541454615
2014-02-04,1455.7103766735386,-1982.652563609211,3428.261525130308,1455.7103766735386,1455.7103766735386,-728.9655845811541,-728.9655845811541,-728.9655845811541,-172.0341670016523,-172.0341670016523,-172.0341670016523,-556.9314175795017,-556.9314175795017,-556.9314175795017,0.0,0.0,0.0,726.7447920923845
2014-02-06,1455.9452191850285,-1661.3853888719939,3835.4010759896332,1455.9452191850285,1455.9452191850285,-514.0049940978738,-514.0049940978738,-514.0049940978738,156.03603595604676,156.03603595604676,156.03603595604676,-670.0410300539204,-670.0410300539204,-670.0410300539204,0.0,0.0,0.0,941.9402250871547
2014-02-07,1456.0626404407733,-1651.9858924914301,3829.662965446665,1456.0626404407733,1456.0626404407733,-315.35955966955623,-315.35955966955623,-315.35955966955623,419.7200470816739,419.7200470816739,419.7200470816739,-735.0796067512301,-735.0796067512301,-735.0796067512301,0.0,0.0,0.0,1140.7030807712172
2014-02-08,1456.1800616965184,-1930.9944382284814,3480.6472629007526,1456.1800616965184,1456.1800616965184,-782.4194724926035,-782.4194724926035,-782.4194724926035,21.48439408142734,21.48439408142734,21.48439408142734,-803.9038665740309,-803.9038665740309,-803.9038665740309,0.0,0.0,0.0,673.7605892039148
2014-02-11,1456.5323254637533,-2641.70200460757,3255.8347922683233,1456.5323254637533,1456.5323254637533,-1188.937232413375,-1188.937232413375,-1188.937232413375,-172.03416700051733,-172.03416700051733,-172.03416700051733,-1016.9030654128577,-1016.9030654128577,-1016.9030654128577,0.0,0.0,0.0,267.5950930503782
2014-02-12,1456.6497467194981,-3350.9139801394667,2142.8296083431387,1456.6497467194981,1456.6497467194981,-2124.825673400782,-2124.825673400782,-2124.825673400782,-1040.4656655833526,-1040.4656655833526,-1040.4656655833526,-1084.3600078174295,-1084.3600078174295,-1084.3600078174295,0.0,0.0,0.0,-668.1759266812837
2014-02-14,1456.884589230988,-2064.919310896788,3427.94795166745,1456.884589230988,1456.884589230988,-783.9354448254315,-783.9354448254315,-783.9354448254315,419.72004708122785,419.72004708122785,419.72004708122785,-1203.6554919066593,-1203.6554919066593,-1203.6554919066593,0.0,0.0,0.0,672.9491444055565
2014-02-15,1457.002010486733,-2467.3403893342156,2804.813836318733,1457.002010486733,1457.002010486733,-1230.7944316340465,-1230.7944316340465,-1230.7944316340465,21.484394080874186,21.484394080874186,21.484394080874186,-1252.2788257149207,-1252.2788257149207,-1252.2788257149207,0.0,0.0,0.0,226.20757885268654
2014-02-16,1457.119431742478,-2435.2392188912368,2875.792706195759,1457.119431742478,1457.119431742478,-1087.9667663659714,-1087.9667663659714,-1087.9667663659714,203.6484885020324,203.6484885020324,203.6484885020324,-1291.6152548680036,-1291.6152548680036,-1291.6152548680036,0.0,0.0,0.0,369.15266537650655
2014-02-17,1457.236852998223,-2167.469980756542,3200.0347177067574,1457.236852998223,1457.236852998223,-908.8071760966602,-908.8071760966602,-908.8071760966602,411.61086696368614,411.61086696368614,411.61086696368614,-1320.4180430603462,-1320.4180430603462,-1320.4180430603462,0.0,0.0,0.0,548.4296769015627
2014-02-18,1457.354274253968,-2808.946736426556,2684.9276725289865,1457.354274253968,1457.354274253968,-1509.6757773965005,-1509.6757773965005,-1509.6757773965005,-172.03416700125496,-172.03416700125496,-172.03416700125496,-1337.6416103952456,-1337.6416103952456,-1337.6416103952456,0.0,0.0,0.0,-52.32150314253249
2014-02-20,1457.5891167654577,-2601.4018684170833,2983.694269009967,1457.5891167654577,1457.5891167654577,-1178.2828487360825,-1178.2828487360825,-1178.2828487360825,156.0360359573843,156.0360359573843,156.0360359573843,-1334.318884693467,-1334.318884693467,-1334.318884693467,0.0,0.0,0.0,279.30626802937513
2014-02-21,1457.706538021203,-2140.642825699552,3435.603172391573,1457.706538021203,1457.706538021203,-893.1651705061156,-893.1651705061156,-893.1651705061156,419.7200470827028,419.7200470827028,419.7200470827028,-1312.8852175888185,-1312.8852175888185,-1312.8852175888185,0.0,0.0,0.0,564.5413675150874
2014-02-22,1457.8239592769478,-2663.58619518709,2948.8691157786634,1457.8239592769478,1457.8239592769478,-1256.635543710996,-1256.635543710996,-1256.635543710996,21.48439408227322,21.48439408227322,21.48439408227322,-1278.1199377932694,-1278.1199377932694,-1278.1199377932694,0.0,0.0,0.0,201.1884155659518
2014-02-23,1457.9413805326926,-2244.200639836566,3153.711633012698,1457.9413805326926,1457.9413805326926,-1026.5993330153808,-1026.5993330153808,-1026.5993330153808,203.64848850272963,203.64848850272963,203.64848850272963,-1230.2478215181104,-1230.2478215181104,-1230.2478215181104,0.0,0.0,0.0,431.3420475173118
2014-02-24,1458.0588017884377,-2059.0191328054393,3420.2972662831326,1458.0588017884377,1458.0588017884377,-758.1490206966821,-758.1490206966821,-758.1490206966821,411.6108669641858,411.6108669641858,411.6108669641858,-1169.759887660868,-1169.759887660868,-1169.759887660868,0.0,0.0,0.0,699.9097810917556
2014-02-27,1458.4110619823687,-2040.1465745722792,3481.7838975242475,1458.4110619823687,1458.4110619823687,-765.2175784457105,-765.2175784457105,-765.2175784457105,156.03603595642826,156.03603595642826,156.03603595642826,-921.2536144021389,-921.2536144021389,-921.2536144021389,0.0,0.0,0.0,693.1934835366582
2014-03-01,1458.6459021116561,-1976.400087767469,3550.566706316182,1458.6459021116561,1458.6459021116561,-690.6838520816351,-690.6838520816351,-690.6838520816351,21.484394081720065,21.484394081720065,21.484394081720065,-712.1682461633552,-712.1682461633552,-712.1682461633552,0.0,0.0,0.0,767.962050030021
2014-03-02,1458.7633221762999,-1618.0726756922115,3837.5353771137497,1458.7633221762999,1458.7633221762999,-395.60092016071013,-395.60092016071013,-395.60092016071013,203.64848850342693,203.64848850342693,203.64848850342693,-599.249408664137,-599.249408664137,-599.249408664137,0.0,0.0,0.0,1063.1624020155898
2014-03-03,1458.8807422409436,-1261.2950018638112,4231.512948584794,1458.8807422409436,1458.8807422409436,-71.48416144740357,-71.48416144740357,-71.48416144740357,411.61086696256496,411.61086696256496,411.61086696256496,-483.0950284099685,-483.0950284099685,-483.0950284099685,0.0,0.0,0.0,1387.3965807935401
2014-03-04,1458.9981623055871,-1926.7166643736105,3757.127452519214,1458.9981623055871,1458.9981623055871,-537.578560774318,-537.578560774318,-537.578560774318,-172.03416700043243,-172.03416700043243,-172.03416700043243,-365.54439377388564,-365.54439377388564,-365.54439377388564,0.0,0.0,0.0,921.4196015312691
2014-03-05,1459.1155823702309,-2739.5640115283645,3039.7363759410887,1459.1155823702309,1459.1155823702309,-1288.9181117959063,-1288.9181117959063,-1288.9181117959063,-1040.465665583329,-1040.465665583329,-1040.465665583329,-248.45244621257737,-248.45244621257737,-248.45244621257737,0.0,0.0,0.0,170.1974705743246
2014-03-07,1459.3504224995183,-798.1506613654781,4326.484183345858,1459.3504224995183,1459.3504224995183,396.8102648066411,396.8102648066411,396.8102648066411,419.7200470818422,419.7200470818422,419.7200470818422,-22.909782275201067,-22.909782275201067,-22.909782275201067,0.0,0.0,0.0,1856.1606873061594
2014-03-10,1459.7026826934496,-661.545707425223,4830.927674906034,1459.7026826934496,1459.7026826934496,680.5179941574356,680.5179941574356,680.5179941574356,411.61086696264954,411.61086696264954,411.61086696264954,268.907127194786,268.907127194786,268.907127194786,0.0,0.0,0.0,2140.220676850885
2014-03-11,1459.8201027580933,-954.2200320812652,4337.253659250258,1459.8201027580933,1459.8201027580933,176.10058628429232,176.10058628429232,176.10058628429232,-172.03416700159536,-172.03416700159536,-172.03416700159536,348.13475328588765,348.13475328588765,348.13475328588765,0.0,0.0,0.0,1635.9206890423857
